client_id,age_group,client_tier,preferred_channel,acquisition_channel,boutique_id,boutique_name,boutique_city,region,boutique_format,boutique_sales_tier,boutique_clienteling_maturity,boutique_wfj_focus_flag,boutique_digital_adoption_score,advisor_id,advisor_tenure_years,advisor_client_book_size,advisor_productivity_tier,primary_division,primary_category,secondary_category_interest,cross_category_flag,strategic_division_opportunity,last_purchase_days,purchase_frequency_12m,transaction_count_12m,total_units_12m,atv,upt,total_spend_12m,lifetime_spend,average_order_value,categories_purchased,relationship_tenure_years,high_value_client_flag,client_value_score,online_visits_90d,product_page_views_90d,fashion_page_views_90d,beauty_page_views_90d,wfj_page_views_90d,wishlist_additions_90d,high_intent_browsing_flag,app_engagement_score,last_campaign_type,campaign_sent_30d,campaign_open_30d,campaign_click_30d,campaign_conversion_30d,days_since_last_campaign,digital_campaign_click_rate,appointment_scheduled_flag,appointment_completed_flag,appointment_conversion_flag,days_since_last_appointment,appointment_count_12m,boutique_visits_12m,email_open_rate,email_opt_in_flag,sms_opt_in_flag,client_contactable_flag,preferred_contact_method,service_interaction_12m,return_or_exchange_12m,estimated_return_rate,client_satisfaction_score,service_recovery_flag,clienteling_touchpoints_90d,event_attendance_12m,advisor_follow_up_flag,repeat_purchase_probability_true,repeat_purchase_90d,estimated_clienteling_revenue,recency_score,frequency_score,monetary_score,rfm_score,engagement_score,digital_intent_score,campaign_engagement_score,service_risk_score,luxury_value_band,client_segment,recommended_action,predicted_repeat_purchase_probability,model_priority_group
C000456,35-44,New,Online,Online Search,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A06,3,217,High Performer,Fragrance & Beauty,Fragrance,Handbags,1,Scale Opportunity,141,1,1,2,122.3,2.0,122.3,122.3,122.3,3,0,0,3.39,7,49,3,15,2,1,0,66.3,Fashion Preview,1,1,0,0,10,0.303,0,0,0,999,0,0,0.43,1,1,1,Email + SMS,2,0,0.0,86.4,0,0,0,1,0.3524,0,43.1,2,1,1,4,23.0,28.3,50.0,6.8,Entry Value,New Client,"Enroll in welcome journey with brand story, service introduction, and first follow-up touchpoint.",0.195,Low Priority
C000457,18-24,Core,Boutique,Referral,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A12,1,194,High Performer,Fashion,Small Leather Goods,Fine Jewelry Interest,1,Medium Strategic Value,137,3,3,5,4481.83,1.67,13445.49,30585.58,4481.83,4,1,0,6.69,1,5,10,7,9,0,1,22.2,Fashion Preview,1,1,0,0,17,0.194,0,0,0,999,0,3,0.326,1,0,1,Email,0,0,0.0,88.8,0,0,0,1,0.5448,1,2441.49,2,3,4,9,17.7,27.8,50.0,5.6,Growth Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.5221,Medium Priority
C000458,35-44,Core,Boutique,Boutique Walk-In,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A11,2,128,Core,Fragrance & Beauty,Makeup,Fine Jewelry Interest,1,Scale Opportunity,110,3,3,6,198.17,2.0,594.51,1415.94,198.17,4,5,0,5.64,4,28,1,9,5,0,0,11.8,WFJ Appointment Invite,1,1,0,0,19,0.315,0,0,0,999,0,3,0.607,1,0,1,Email,0,0,0.0,84.9,0,0,0,0,0.515,1,102.05,3,4,2,9,14.5,15.3,50.0,7.6,Entry Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.4092,Medium Priority
C000459,18-24,Top Client,Boutique,Event,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A07,3,166,Core,Fragrance & Beauty,Fragrance,,0,Scale Opportunity,8,8,8,22,2313.03,2.75,18504.24,148007.33,2313.03,2,8,1,10.22,3,6,3,9,4,0,0,17.4,Fashion Preview,1,1,0,0,27,0.12,0,0,0,999,4,17,0.315,1,1,1,Email + SMS,1,0,0.0,85.0,0,6,0,1,0.9941,1,2299.38,5,5,4,14,33.8,10.7,50.0,7.5,Ultra High Value,VIP Loyalist,"Invite to private preview, exclusive appointment, or high-touch boutique experience.",0.955,Top Priority
C000460,25-34,VIP,Online,Social Media,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A10,3,125,High Performer,Fragrance & Beauty,Makeup,Skincare,1,Scale Opportunity,146,3,3,5,442.39,1.67,1327.17,7162.05,442.39,3,8,1,9.0,7,35,3,9,5,1,0,43.9,Fashion Preview,1,1,1,0,19,0.468,0,0,0,999,2,2,0.74,0,0,0,Do Not Contact,2,0,0.0,85.1,0,6,0,1,0.8787,1,97.18,2,4,3,9,32.9,36.1,80.0,7.5,High Value,Beauty-First Client,"Target with fragrance, skincare, or beauty replenishment campaign.",0.8638,Low Priority
C000461,25-34,High Potential,Online,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A05,3,221,Core,Fragrance & Beauty,Makeup,Fine Jewelry Interest,1,Scale Opportunity,254,3,3,6,941.43,2.0,2824.29,9858.26,941.43,2,4,0,6.51,8,56,0,9,6,2,1,69.8,Beauty Replenishment,1,1,0,1,2,0.324,0,0,0,999,1,0,0.726,1,0,1,Email,0,0,0.0,75.7,0,1,0,0,0.4173,1,392.83,1,4,3,8,23.0,44.0,70.0,12.2,Growth Value,Recently Converted Client,Move to post-purchase nurture journey and monitor for next best offer.,0.3506,Low Priority
C000462,45-54,New,Online,Referral,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A12,3,160,High Performer,Fashion,Handbags,Fragrance Discovery,1,Medium Strategic Value,365,2,2,2,1516.05,1.0,3032.1,3034.29,1516.05,1,1,0,5.51,6,42,9,15,2,0,0,60.0,Beauty Replenishment,1,1,1,0,1,0.249,0,0,0,999,0,0,0.606,0,1,1,SMS,1,0,0.0,87.0,0,0,0,0,0.0643,0,97.46,1,2,3,6,23.1,35.2,80.0,6.5,Entry Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.1028,Low Priority
C000463,45-54,New,Omnichannel,Online Search,B007,San Francisco Boutique,San Francisco,West,Fashion Boutique,Tier 2,Developing,0,78,B007_A15,6,136,High Performer,Fashion,Ready-to-Wear,Fragrance Discovery,1,Medium Strategic Value,82,4,4,6,3366.06,1.5,13464.24,14798.03,3366.06,1,0,0,6.24,13,91,11,11,3,2,1,24.2,Welcome Journey,1,0,0,0,26,0.12,0,0,0,999,0,5,0.403,0,0,0,Do Not Contact,2,0,0.0,78.1,0,0,0,0,0.7078,1,595.59,3,4,4,11,12.9,40.4,25.0,11.0,Core Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.7018,Low Priority
C000464,35-44,Core,Omnichannel,Online Search,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A10,5,215,High Performer,Fashion,Ready-to-Wear,Shoes,1,Medium Strategic Value,61,4,4,4,4246.04,1.0,16984.16,45621.73,4246.04,1,4,0,7.49,11,55,7,5,4,4,1,52.6,No Recent Campaign,0,0,0,0,999,0.157,0,0,0,999,0,4,0.168,1,1,1,Email + SMS,0,1,0.25,64.0,1,1,0,0,0.7434,1,2051.64,4,4,4,12,20.0,42.7,0.0,48.0,Growth Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.725,Medium Priority
C000465,65+,New,Online,Referral,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Watches & Fine Jewelry,High Jewelry Interest,Watches,1,High Strategic Value,201,0,0,0,0.0,0.0,0.0,0.0,3696.63,2,1,0,0.7,11,44,4,3,9,2,1,29.1,Fragrance Launch,1,0,0,0,7,0.297,0,0,0,999,0,0,0.025,0,1,1,SMS,1,0,0.0,78.5,0,0,0,0,0.0521,0,192.66,1,1,1,3,13.1,38.1,25.0,10.8,Entry Value,Low-Engagement Client,Use low-pressure reactivation before assigning high-touch advisor effort.,0.0406,Low Priority
C000466,35-44,Core,Boutique,Social Media,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A07,5,198,High Performer,Fashion,Small Leather Goods,Accessories,1,Medium Strategic Value,237,2,2,3,4025.74,1.5,8051.48,20999.63,4025.74,1,3,0,6.83,2,14,11,3,2,0,0,20.7,Fragrance Launch,1,1,0,0,28,0.344,0,0,0,999,1,5,0.323,1,0,1,Email,1,0,0.0,96.2,0,2,0,1,0.307,0,1235.93,1,2,4,7,21.7,14.3,50.0,1.9,Core Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.2391,Low Priority
C000467,25-34,High Potential,Online,Referral,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A13,2,148,High Performer,Fashion,Handbags,Fragrance Discovery,1,Medium Strategic Value,56,3,3,4,9537.65,1.33,28612.95,104233.33,9537.65,1,4,1,9.91,12,60,3,11,4,0,1,55.0,Reactivation,1,1,0,0,5,0.312,0,0,0,999,1,0,0.309,0,0,0,Do Not Contact,1,0,0.0,83.8,0,2,0,1,0.8133,1,1939.28,4,4,5,13,19.1,39.6,50.0,8.1,High Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.7438,Medium Priority
C000468,55-64,High Potential,Boutique,Social Media,B009,Washington DC Boutique,Washington DC,Northeast,Mixed Boutique,Tier 3,Emerging,0,66,B009_A11,4,82,Core,Watches & Fine Jewelry,Watches,Fashion Styling,1,High Strategic Value,111,6,6,6,11480.03,1.0,68880.18,238906.26,11480.03,1,5,1,10.62,1,3,2,4,8,0,1,69.2,WFJ Appointment Invite,1,0,0,0,25,0.453,0,0,0,999,0,4,0.555,1,0,1,Email,0,0,0.0,85.5,0,0,0,0,0.7511,1,8622.75,3,5,5,13,17.2,35.3,25.0,7.3,Ultra High Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.7545,Top Priority
C000469,25-34,High Potential,Omnichannel,Event,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A10,3,188,Top Performer,Fashion,Small Leather Goods,Fine Jewelry Interest,1,Medium Strategic Value,196,3,3,6,4222.48,2.0,12667.44,39798.94,4222.48,1,3,0,7.17,8,16,8,6,12,4,1,84.1,Welcome Journey,1,1,0,0,19,0.481,0,0,0,999,4,3,0.524,1,0,1,Email,1,0,0.0,71.0,0,4,1,0,0.8334,0,3519.01,1,4,4,9,32.3,52.3,50.0,14.5,Growth Value,Cross-Category WFJ Prospect,Introduce Watches & Fine Jewelry discovery journey based on browsing and cross-category signals.,0.76,High Priority
C000470,65+,Core,Online,Referral,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Small Leather Goods,,0,Medium Strategic Value,137,3,3,4,1906.53,1.33,5719.59,14588.04,1906.53,1,2,0,5.92,20,140,14,2,2,2,1,56.7,Fragrance Launch,1,1,1,1,15,0.455,0,0,0,999,1,0,0.404,1,0,1,Email,1,0,0.0,80.6,0,1,0,1,0.6979,1,1330.65,2,4,4,10,35.3,65.0,100.0,9.7,Core Value,Digital High-Intent Client,"Use digital retargeting, wishlist follow-up, and appointment conversion prompt.",0.5984,High Priority
C000471,18-24,High Potential,Online,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A13,5,233,Top Performer,Fragrance & Beauty,Fragrance,Fine Jewelry Interest,1,Scale Opportunity,59,3,3,7,394.91,2.33,1184.73,3986.83,394.91,1,1,0,5.37,7,28,1,15,7,0,0,59.1,No Recent Campaign,0,0,0,0,999,0.246,0,0,0,999,0,0,0.218,0,0,0,Do Not Contact,0,0,0.0,88.9,0,2,0,1,0.6438,1,63.56,4,4,3,11,15.8,24.8,0.0,5.6,Growth Value,Non-Contactable Client,Do not contact directly; monitor behavior and rely on owned-channel experience.,0.5485,Low Priority
C000472,65+,Core,Online,Referral,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Ready-to-Wear,Fine Jewelry Interest,1,Medium Strategic Value,77,2,2,3,2093.13,1.5,4186.26,11187.7,2093.13,1,2,0,6.25,11,33,10,7,15,2,1,32.7,Fragrance Launch,1,0,0,0,17,0.255,0,0,0,999,3,0,0.404,1,0,1,Email,1,0,0.0,100.0,0,2,0,0,0.6756,1,1414.15,4,2,3,9,21.8,42.6,25.0,0.0,Core Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.6431,Medium Priority
C000473,18-24,New,Omnichannel,Social Media,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A01,0,198,High Performer,Fashion,Small Leather Goods,Fine Jewelry Interest,1,Medium Strategic Value,60,1,1,1,5074.13,1.0,5074.13,6967.45,5074.13,2,0,0,5.73,11,55,7,4,8,0,1,64.1,Private Event,1,0,0,0,27,0.387,0,0,0,999,0,3,0.59,0,1,1,SMS,3,0,0.0,80.3,0,0,0,1,0.726,1,3683.7,4,1,3,8,26.1,42.7,25.0,9.9,Entry Value,New Client,"Enroll in welcome journey with brand story, service introduction, and first follow-up touchpoint.",0.7263,Medium Priority
C000474,55-64,High Potential,Online,Boutique Walk-In,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Handbags,Fragrance Discovery,1,Medium Strategic Value,84,7,7,8,4571.41,1.14,31999.87,110351.29,4571.41,2,3,1,9.76,16,64,10,7,3,1,1,63.8,Beauty Replenishment,1,1,0,0,21,0.566,0,0,0,999,0,0,0.557,1,1,1,Email + SMS,1,1,0.143,76.4,1,2,1,1,0.8971,1,2665.66,3,5,5,13,30.2,47.9,50.0,39.1,High Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.9037,High Priority
C000475,35-44,New,Online,Social Media,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A01,4,191,Core,Fragrance & Beauty,Skincare,Fine Jewelry Interest,1,Scale Opportunity,81,0,0,0,0.0,0.0,0.0,16.39,125.91,1,0,0,1.5,8,24,2,14,10,2,1,20.0,Fashion Preview,1,0,0,0,22,0.377,0,0,0,999,0,0,0.247,1,1,1,Email + SMS,0,0,0.0,95.9,0,0,0,0,0.1842,0,23.19,3,1,1,5,13.5,37.8,25.0,2.1,Entry Value,New Client,"Enroll in welcome journey with brand story, service introduction, and first follow-up touchpoint.",0.1169,Low Priority
C000476,65+,Core,Online,Boutique Walk-In,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Makeup,Skincare,1,Scale Opportunity,16,2,2,4,145.93,2.0,291.86,796.44,145.93,1,2,0,4.66,18,72,5,15,4,3,1,44.5,Fragrance Launch,1,1,1,0,28,0.167,0,0,0,999,1,1,0.51,1,0,1,Email,1,0,0.0,80.3,0,2,0,0,0.8069,0,117.75,5,2,2,9,30.9,55.4,80.0,9.9,Entry Value,Beauty-First Digital Client,Target with personalized beauty launch journey and digital-to-boutique conversion path.,0.8156,Medium Priority
C000477,18-24,Core,Boutique,Event,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A03,4,202,Emerging,Fragrance & Beauty,Fragrance,,0,Scale Opportunity,58,2,2,4,259.0,2.0,518.0,1210.78,259.0,4,0,0,4.05,2,14,1,7,1,0,0,16.0,Beauty Replenishment,1,1,0,0,5,0.323,0,0,0,999,0,4,0.534,0,1,1,SMS,0,0,0.0,75.6,0,2,1,1,0.6539,0,169.37,4,2,2,8,23.1,11.3,50.0,12.2,Entry Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.5215,Medium Priority
C000478,35-44,High Potential,Boutique,Social Media,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A15,3,167,Core,Fragrance & Beauty,Makeup,Fine Jewelry Interest,1,Scale Opportunity,89,3,3,6,354.01,2.0,1062.03,3719.06,354.01,1,3,0,5.72,3,18,5,11,9,0,1,12.1,Reactivation,1,0,0,1,18,0.114,0,0,0,999,0,4,0.265,1,1,1,Email + SMS,1,0,0.0,97.8,0,1,0,1,0.5798,1,205.24,3,4,2,9,18.6,26.8,45.0,1.1,Growth Value,Recently Converted Client,Move to post-purchase nurture journey and monitor for next best offer.,0.5812,High Priority
C000479,65+,High Potential,Online,Email Campaign,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Handbags,Fragrance Discovery,1,Medium Strategic Value,124,3,3,5,2808.83,1.67,8426.49,26884.7,2808.83,1,2,0,6.73,15,60,8,8,5,2,1,45.0,Fashion Preview,1,1,0,0,30,0.082,0,0,0,999,0,0,0.42,1,1,1,Email + SMS,2,0,0.0,95.3,0,0,0,0,0.5277,1,1482.15,2,4,4,10,19.0,40.1,50.0,2.4,Growth Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.5952,Medium Priority
C000480,35-44,Core,Boutique,Boutique Walk-In,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A04,3,206,Core,Fragrance & Beauty,Fragrance,Skincare,1,Scale Opportunity,32,1,1,2,225.33,2.0,225.33,667.76,225.33,3,0,0,4.13,1,7,2,6,1,2,1,39.5,Beauty Replenishment,1,1,0,0,15,0.296,0,1,1,999,1,5,0.259,1,1,1,Email + SMS,0,0,0.0,77.6,0,4,0,0,0.7413,1,167.03,5,1,2,8,25.4,29.0,50.0,11.2,Entry Value,Recently Converted Client,Move to post-purchase nurture journey and monitor for next best offer.,0.6971,High Priority
C000481,45-54,High Potential,Boutique,Social Media,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A02,0,63,Emerging,Watches & Fine Jewelry,Fine Jewelry,Watches,1,High Strategic Value,192,3,3,4,18602.47,1.33,55807.41,214145.27,18602.47,1,2,1,9.93,5,15,6,5,5,0,0,14.6,Fragrance Launch,1,1,0,0,12,0.182,0,0,0,999,1,5,0.393,1,0,1,Email,2,0,0.0,81.0,0,2,1,1,0.5013,0,9325.43,1,4,5,10,24.3,12.9,50.0,9.5,Ultra High Value,WFJ Opportunity Client,Recommend Watches & Fine Jewelry advisor follow-up and appointment consultation.,0.6138,High Priority
C000482,45-54,Core,Online,Boutique Walk-In,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A14,5,261,Core,Fashion,Handbags,Fragrance Discovery,1,Medium Strategic Value,77,1,1,2,4565.32,2.0,4565.32,11504.55,4565.32,1,3,0,6.48,5,35,12,10,2,2,1,62.3,WFJ Appointment Invite,1,1,0,0,24,0.249,0,0,0,999,1,0,0.857,1,0,1,Email,1,0,0.0,68.2,1,1,1,0,0.6093,1,1807.97,4,1,3,8,24.0,39.6,50.0,30.9,Core Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.5433,Medium Priority
C000483,35-44,Core,Omnichannel,Social Media,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A03,6,226,Core,Watches & Fine Jewelry,Fine Jewelry,,0,High Strategic Value,52,1,1,1,9921.04,1.0,9921.04,23310.87,9921.04,1,1,0,6.02,8,16,3,8,9,3,1,39.1,Private Event,1,0,0,0,18,0.14,0,0,0,999,0,1,0.369,1,1,1,Email + SMS,1,0,0.0,83.0,0,1,0,0,0.5922,0,5875.64,4,1,4,9,17.9,36.4,25.0,8.5,Core Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.6075,Medium Priority
C000484,45-54,High Potential,Boutique,Event,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A14,4,207,High Performer,Fragrance & Beauty,Makeup,,0,Scale Opportunity,58,2,2,5,403.48,2.5,806.96,2866.57,403.48,1,3,0,5.06,4,20,4,15,1,0,0,42.2,Fashion Preview,1,1,0,0,3,0.405,0,0,0,999,0,2,0.387,1,0,1,Email,0,0,0.0,68.3,1,2,0,0,0.4345,0,113.94,4,2,2,8,16.0,20.3,50.0,30.9,Growth Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.4713,Medium Priority
C000485,35-44,High Potential,Boutique,Event,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A10,4,172,Core,Watches & Fine Jewelry,Fine Jewelry,Fragrance Discovery,1,High Strategic Value,148,3,3,4,12907.63,1.33,38722.89,125656.56,12907.63,3,7,1,10.65,2,4,4,8,10,0,1,12.1,Welcome Journey,1,1,0,0,13,0.489,0,0,0,999,0,2,0.352,0,0,0,Do Not Contact,1,1,0.333,85.2,1,2,0,0,0.3951,0,828.66,2,4,5,11,7.1,30.0,50.0,39.5,High Value,Non-Contactable Client,Do not contact directly; monitor behavior and rely on owned-channel experience.,0.2125,Low Priority
C000486,55-64,Top Client,Online,Referral,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Beauty Services,Fine Jewelry Interest,1,Scale Opportunity,61,9,9,21,828.27,2.33,7454.43,58985.51,828.27,4,12,1,10.97,16,112,3,10,7,2,1,56.8,Fashion Preview,1,1,1,0,5,0.479,0,0,0,999,5,2,0.573,1,0,1,Email,1,0,0.0,92.1,0,3,3,1,0.9964,1,825.29,4,5,4,13,46.5,63.6,80.0,4.0,Ultra High Value,VIP Loyalist,"Invite to private preview, exclusive appointment, or high-touch boutique experience.",0.9877,Top Priority
C000487,18-24,New,Boutique,Referral,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A15,3,212,Emerging,Fashion,Ready-to-Wear,Accessories,1,Medium Strategic Value,365,0,0,0,0.0,0.0,0.0,0.0,3644.02,1,0,0,0.5,4,12,4,3,3,0,0,29.2,Private Event,1,1,0,0,17,0.246,0,0,0,999,0,0,0.417,1,1,1,Email + SMS,1,0,0.0,71.2,0,0,0,0,0.0105,0,38.32,1,1,1,3,12.8,13.4,50.0,14.4,Entry Value,Low-Engagement Client,Use low-pressure reactivation before assigning high-touch advisor effort.,0.0114,Low Priority
C000488,25-34,High Potential,Omnichannel,Boutique Walk-In,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A02,3,190,Core,Fragrance & Beauty,Skincare,Skincare,1,Scale Opportunity,83,3,3,6,614.93,2.0,1844.79,6264.27,614.93,3,6,0,6.64,10,70,2,13,2,1,1,59.4,No Recent Campaign,0,0,0,0,999,0.381,0,1,0,999,0,11,0.722,1,1,1,Email + SMS,1,1,0.333,75.6,0,2,0,0,0.8582,1,527.72,3,4,3,10,32.6,42.6,0.0,29.3,Growth Value,Beauty-First Client,"Target with fragrance, skincare, or beauty replenishment campaign.",0.8521,High Priority
C000489,65+,Core,Online,Online Search,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Skincare,Fashion Entry,1,Scale Opportunity,112,3,3,6,89.72,2.0,269.16,694.82,89.72,2,0,0,4.19,16,96,7,15,2,2,1,50.8,Welcome Journey,1,0,0,0,27,0.663,0,0,0,999,0,1,0.389,1,0,1,Email,0,0,0.0,91.1,0,1,0,0,0.5099,0,45.74,3,4,2,9,20.8,53.0,25.0,4.5,Entry Value,Digital High-Intent Client,"Use digital retargeting, wishlist follow-up, and appointment conversion prompt.",0.4145,Medium Priority
C000490,55-64,VIP,Online,Event,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Shoes,Fragrance Discovery,1,Medium Strategic Value,22,6,6,7,7758.79,1.17,46552.74,260080.26,7758.79,2,5,1,10.55,13,78,11,8,1,1,1,77.9,Fragrance Launch,1,0,0,0,24,0.261,0,0,0,999,4,2,0.341,1,0,1,Email,2,1,0.167,77.0,1,2,1,1,0.9661,1,4872.06,5,5,5,15,33.4,45.7,25.0,39.4,Ultra High Value,VIP Loyalist,"Invite to private preview, exclusive appointment, or high-touch boutique experience.",0.9486,Top Priority
C000491,35-44,New,Boutique,Social Media,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A10,3,128,High Performer,Watches & Fine Jewelry,Watches,Fashion Styling,1,High Strategic Value,133,1,1,1,2967.6,1.0,2967.6,3272.82,2967.6,3,0,0,5.33,4,24,6,1,11,0,1,23.4,Beauty Replenishment,1,0,0,0,12,0.173,0,0,1,999,1,0,0.398,1,0,1,Email,0,0,0.0,87.7,0,1,0,0,0.3917,1,1162.34,2,1,3,6,14.2,29.2,25.0,6.2,Entry Value,Recently Converted Client,Move to post-purchase nurture journey and monitor for next best offer.,0.3671,Low Priority
C000492,45-54,High Potential,Boutique,Boutique Walk-In,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A06,3,237,Core,Fashion,Handbags,Accessories,1,Medium Strategic Value,33,2,2,3,8665.5,1.5,17331.0,63781.23,8665.5,4,3,1,9.41,4,8,12,2,1,0,0,33.4,Beauty Replenishment,1,0,0,0,23,0.144,0,0,0,999,0,1,0.453,1,0,1,Email,0,1,0.5,89.5,1,4,1,1,0.7677,1,4324.04,5,2,4,11,24.8,12.7,25.0,41.5,Growth Value,Fashion-First Client,"Recommend styling appointment, new collection preview, or category expansion outreach.",0.7566,High Priority
C000493,25-34,Core,Boutique,Social Media,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A11,2,191,Core,Fashion,Small Leather Goods,Shoes,1,Medium Strategic Value,134,3,3,5,7416.28,1.67,22248.84,57359.05,7416.28,4,0,1,8.84,2,8,9,5,1,0,0,13.8,Beauty Replenishment,1,0,0,0,6,0.463,0,0,0,999,0,2,0.397,1,1,1,Email + SMS,3,0,0.0,90.0,0,2,0,0,0.4881,1,3619.9,2,4,5,11,13.6,13.8,25.0,5.0,Growth Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.3464,Low Priority
C000494,25-34,New,Boutique,Online Search,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A07,0,201,High Performer,Fragrance & Beauty,Skincare,Fine Jewelry Interest,1,Scale Opportunity,182,1,1,2,135.79,2.0,135.79,135.79,135.79,1,0,0,3.45,2,8,1,16,10,0,1,62.4,No Recent Campaign,0,0,0,0,999,0.336,1,0,0,132,0,3,0.139,1,1,1,Email + SMS,1,0,0.0,87.9,0,1,0,1,0.2067,0,28.07,1,1,1,3,20.0,37.1,0.0,6.1,Entry Value,Core Client,Maintain regular lifecycle communication and monitor for upgrade or churn signals.,0.1201,Low Priority
C000495,35-44,Core,Online,Online Search,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A15,2,146,High Performer,Fragrance & Beauty,Fragrance,Skincare,1,Scale Opportunity,142,5,5,12,308.36,2.4,1541.8,3821.19,308.36,1,2,0,5.62,9,36,4,10,3,1,0,34.5,Reactivation,1,0,0,0,12,0.111,0,0,0,999,1,1,0.092,0,0,0,Do Not Contact,1,0,0.0,72.7,0,0,0,0,0.4182,0,32.24,2,5,3,10,8.2,19.5,25.0,13.7,Entry Value,Non-Contactable Client,Do not contact directly; monitor behavior and rely on owned-channel experience.,0.5266,Low Priority
